query_id,candidate_k,page_id,is_eligible_gold,candidate_rank,candidate_score_rrf60,dense_rank,bm25_rank,reranker_rank,reranker_cached_sigmoid_score
S001-Q007,20,e7eefead-7365-5540-b914-0d6077a14d8c,False,2,0.03225806451612903,2,2,1,0.36157494148856595
S001-Q007,20,2631e802-75be-5089-9418-baece6a717cf,True,3,0.031746031746031744,3,3,3,0.030619307667125405
S001-Q011,20,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,True,1,0.03278688524590164,1,1,2,0.39658914672557377
S001-Q011,20,9b4b60a1-f0f9-5368-b4ce-b441752321bb,False,2,0.03200204813108039,2,3,1,0.4489270316941705
S001-Q011,20,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,3,0.0315136476426799,5,2,6,0.07037600383079294
S001-Q011,20,70d0daf9-01a8-5e0f-9341-e20464515e43,False,4,0.031024531024531024,3,6,4,0.16713118495000895
S001-Q011,20,e7eefead-7365-5540-b914-0d6077a14d8c,False,5,0.031009615384615385,4,5,3,0.24746782379933976
S001-Q011,20,8322bc48-f2e3-5603-ae53-97917cf35a39,False,6,0.03055037313432836,7,4,7,0.021959249911701968
S001-Q011,20,2631e802-75be-5089-9418-baece6a717cf,True,7,0.03007688828584351,6,7,5,0.10442442305848097
S001-Q013,20,70d0daf9-01a8-5e0f-9341-e20464515e43,False,1,0.03252247488101534,1,2,2,0.1952827528386377
S001-Q013,20,8322bc48-f2e3-5603-ae53-97917cf35a39,False,2,0.032266458495966696,3,1,8,0.0171380322861935
S001-Q013,20,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,3,0.03200204813108039,2,3,6,0.028396748842341397
S001-Q013,20,e7eefead-7365-5540-b914-0d6077a14d8c,False,4,0.031009615384615385,4,5,3,0.08162735758705457
S001-Q013,20,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,False,5,0.031009615384615385,5,4,7,0.02370294073929944
S001-Q013,20,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,6,0.029857397504456328,8,6,9,0.014119041654135564
S001-Q013,20,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,7,0.029857397504456328,6,8,4,0.06503902414428168
S001-Q013,20,9b4b60a1-f0f9-5368-b4ce-b441752321bb,True,8,0.029850746268656716,7,7,1,0.19700695478230823
S001-Q013,20,2631e802-75be-5089-9418-baece6a717cf,True,9,0.028985507246376812,9,9,5,0.057299524071683205
S001-Q014,20,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,1,0.03225806451612903,2,2,3,0.5363341022696391
S001-Q014,20,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,True,2,0.032018442622950824,1,4,2,0.7625859959281569
S001-Q014,20,dea63c61-1950-5f6a-bdd9-1323f83f3b37,False,3,0.03177805800756621,5,1,4,0.47110049087352823
S001-Q014,20,9b4b60a1-f0f9-5368-b4ce-b441752321bb,False,4,0.031746031746031744,3,3,1,0.7841233926048932
S001-Q014,20,ed0c9ffd-4cf7-5f79-aaea-898b8f2899f0,False,5,0.031009615384615385,4,5,8,0.06283878134335408
S001-Q014,20,8322bc48-f2e3-5603-ae53-97917cf35a39,False,6,0.03007688828584351,6,7,6,0.07732185402274155
S001-Q014,20,e7eefead-7365-5540-b914-0d6077a14d8c,False,7,0.029857397504456328,8,6,5,0.14352949569388823
S001-Q014,20,70d0daf9-01a8-5e0f-9341-e20464515e43,False,8,0.029631255487269532,7,8,7,0.073674154118424
S001-Q014,20,2631e802-75be-5089-9418-baece6a717cf,False,9,0.02877846790890269,10,9,9,0.0459079021131214
S001-Q014,20,dfaf0dfd-1943-54e1-99a3-0690c5a9cb38,False,10,0.02877846790890269,9,10,10,0.0269715828382913
S001-Q021,20,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,False,1,0.032266458495966696,1,3,2,0.9288841018921786
S001-Q021,20,e7eefead-7365-5540-b914-0d6077a14d8c,False,2,0.031099324975891997,8,1,1,0.9871298565962268
S001-Q021,20,71a788a3-0077-5908-a7f4-d02349fd6e1c,False,3,0.030798389007344232,3,7,7,0.11771285350803992
S001-Q021,20,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,False,4,0.0304147465437788,2,10,5,0.28068036713560185
