session_id,query_id,gold_page_id,baseline_rank,baseline_score,P0_rank,P0_score,P0_promoted,P0_demoted,P0_rank_movement,P2_rank,P2_score,P2_promoted,P2_demoted,P2_rank_movement,P4_rank,P4_score,P4_promoted,P4_demoted,P4_rank_movement
S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,0.35526493191719055,3,0.35526493191719055,False,False,0,3,0.39499086141586304,False,False,0,3,0.35526493191719055,False,False,0
S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,0.4535906910896301,6,0.4535906910896301,False,False,0,6,0.4535906910896301,False,False,0,6,0.4535906910896301,False,False,0
S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,0.5185934901237488,1,0.5185934901237488,False,False,0,1,0.5185934901237488,False,False,0,1,0.5185934901237488,False,False,0
S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,0.3880617618560791,9,0.3880617618560791,False,False,0,9,0.5047256946563721,False,False,0,9,0.4641387462615967,False,False,0
S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,0.4383961260318756,7,0.4383961260318756,False,False,0,3,0.5994397401809692,True,False,4,2,0.5797547698020935,True,False,5
S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,0.6648146510124207,1,0.6648146510124207,False,False,0,3,0.6697158813476562,False,False,-2,3,0.6697158813476562,False,False,-2
S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,0.5378081798553467,6,0.5378081798553467,False,False,0,6,0.6287976503372192,False,False,0,9,0.5877163410186768,False,False,-3
S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,0.5138569474220276,16,0.5138569474220276,False,False,0,17,0.5299906134605408,False,False,-1,17,0.5299906134605408,False,False,-1
S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,0.5241682529449463,13,0.5241682529449463,False,False,0,11,0.549980640411377,False,False,2,11,0.549980640411377,False,False,2
S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,0.3901694118976593,21,0.3901694118976593,False,False,0,17,0.5301981568336487,False,False,4,21,0.3901694118976593,False,False,0
S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,0.4946797788143158,4,0.4946797788143158,False,False,0,11,0.5581398606300354,False,True,-7,4,0.4946797788143158,False,False,0
S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,0.48575401306152344,2,0.48575401306152344,False,False,0,2,0.48575401306152344,False,False,0,2,0.48575401306152344,False,False,0
S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,0.5201343297958374,1,0.5790305137634277,False,False,1,1,0.5790305137634277,False,False,1,1,0.5790305137634277,False,False,1
S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,0.4486255347728729,24,0.481160044670105,False,False,-4,24,0.481160044670105,False,False,-4,24,0.481160044670105,False,False,-4
S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,0.38482916355133057,27,0.38482916355133057,False,False,0,28,0.3815840482711792,False,False,-1,28,0.3815840482711792,False,False,-1
S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,0.49549949169158936,3,0.49549949169158936,False,False,0,3,0.49549949169158936,False,False,0,7,0.5278671979904175,False,True,-4
S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,0.4700566232204437,11,0.4700566232204437,False,False,0,11,0.4700566232204437,False,False,0,5,0.5357486009597778,True,False,6
S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,0.524163007736206,6,0.524163007736206,False,False,0,6,0.524163007736206,False,False,0,6,0.524163007736206,False,False,0
S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,0.38481488823890686,15,0.38481488823890686,False,False,0,15,0.38481488823890686,False,False,0,22,0.35572490096092224,False,False,-7
